Date,Open,High,Low,Close,Adj Close,Volume
11/19/2021,47.57,47.57,46.720001,46.849998,46.849998,97100
11/22/2021,46.580002,47.200001,46.580002,46.84,46.84,107900
11/23/2021,46.880001,47.849998,46.880001,47.669998,47.669998,134400
11/24/2021,47.599998,47.939999,47.48,47.720001,47.720001,68700
11/26/2021,46.130001,46.130001,44.549999,45.07,45.07,200700
11/29/2021,45.18,45.68,44.75,44.810001,44.810001,152000
11/30/2021,44.07,44.27,43.52,43.75,43.75,189300
12/1/2021,45.189999,45.34,43.98,44.040001,44.040001,125800
12/2/2021,45.490002,46.240002,45.209999,45.990002,45.990002,192900
12/3/2021,46.650002,46.790001,46.119999,46.450001,46.450001,271600
12/6/2021,46.700001,47.939999,46.700001,47.740002,47.740002,320700
12/7/2021,48,48.259998,47.450001,47.560001,47.560001,143900
12/8/2021,47.68,47.919998,47.619999,47.810001,47.810001,59300
12/9/2021,47.709999,47.709999,47.299999,47.369999,47.369999,81100
12/10/2021,47.41,47.43,46.98,47.360001,47.360001,54400
12/13/2021,47.25,47.34,46.919998,46.950001,46.950001,88000
12/14/2021,46.709999,47.07,46.59,46.709999,46.709999,104400
12/15/2021,46.700001,46.869999,46.209999,46.73,46.73,111800
12/16/2021,47.32,47.919998,47.32,47.419998,47.419998,84400
12/17/2021,47.040001,47.040001,46.34,46.43,46.43,107300
12/20/2021,46.16,46.16,45.580002,46.049999,46.049999,106900
12/21/2021,46.389999,46.82,46.299999,46.779999,46.779999,109300
12/22/2021,46.450001,46.560001,46.18,46.34,46.34,59300
12/23/2021,47.02,47.32,46.950001,47.23,47.23,91200
12/27/2021,47.169998,47.5,47,47.34,47.34,62000
12/28/2021,47.25,47.540001,47,47.139999,47.139999,89600
12/29/2021,46.98,47.09,46.34,46.639999,46.639999,142000
12/30/2021,46.290001,46.82,46.290001,46.77,46.77,155700
12/31/2021,46.720001,46.970001,46.43,46.509998,46.509998,52600
1/3/2022,47.080002,47.880001,46.98,47.630001,47.630001,100700
1/4/2022,47.700001,48.279999,47.700001,48.07,48.07,96800
1/5/2022,48.790001,49.57,48.509998,48.73,48.73,137800
1/6/2022,49.099998,49.48,49,49.459999,49.459999,107900
1/7/2022,49.599998,50.279999,49.599998,50.220001,50.220001,123400
1/10/2022,49.810001,49.950001,49.259998,49.299999,49.299999,81700
1/11/2022,50.029999,50.84,49.700001,50.82,50.82,86800
1/12/2022,50.810001,51.290001,50.689999,51.189999,51.189999,201300
1/13/2022,51.400002,52.110001,51.220001,51.389999,51.389999,138400
1/14/2022,51.5,52.200001,51.400002,52.16,52.16,144200
1/18/2022,52.5,53.259998,52.5,53.049999,53.049999,152900
1/19/2022,53.490002,53.740002,53.09,53.360001,53.360001,139100
1/20/2022,53.110001,53.200001,52.130001,52.18,52.18,120700
1/21/2022,52.139999,52.400002,51.700001,51.950001,51.950001,129400
1/24/2022,51.389999,51.91,50.900002,51.830002,51.830002,200800
1/25/2022,51.790001,52.810001,51.040001,52.720001,52.720001,160200
1/26/2022,52.599998,52.849998,51.759998,51.990002,51.990002,168200
1/27/2022,52.279999,52.66,51.52,52.09,52.09,111900
1/28/2022,51.849998,52.23,51.23,51.790001,51.790001,133200
1/31/2022,51.900002,52.200001,51.549999,52.099998,52.099998,126900
2/1/2022,51.799999,52.610001,51.5,52.450001,52.450001,95200
2/2/2022,52.200001,52.830002,52.080002,52.52,52.52,64800
2/3/2022,52.799999,52.939999,52.18,52.59,52.59,75800
2/4/2022,52.98,53.689999,52.970001,53.459999,53.459999,126700
2/7/2022,53.68,54.349998,53.490002,53.880001,53.880001,137300
2/8/2022,53.880001,54.040001,53.32,53.759998,53.759998,98500
2/9/2022,54,54.43,54,54.200001,54.200001,94800
2/10/2022,54.200001,54.650002,53.869999,54.049999,54.049999,137300
2/11/2022,54.209999,55.029999,54.209999,55.02,55.02,159000
2/14/2022,54.400002,54.439999,52.919998,53.41,53.41,182600
2/15/2022,51.779999,51.849998,50.779999,51.040001,51.040001,198400
2/16/2022,51.549999,52.490002,51.549999,51.900002,51.900002,133800
2/17/2022,52.16,52.380001,51.75,52.119999,52.119999,94500
2/18/2022,51.939999,52.16,51.599998,51.830002,51.830002,94000
